entry,at,order
"The admin ""Superman @ lcLCU4HVrS"" enqueued the game stop on next hand.",2022-08-30T05:05:23.868Z,166183592386800
"-- ending hand #1 --",2022-08-30T05:05:21.383Z,166183592138303
"""LexLuthor @ 7ZOX07XXIG"" shows a 2♣, 6♥.",2022-08-30T05:05:21.383Z,166183592138302
"""Superman @ lcLCU4HVrS"" collected 500 from pot with Two Pair, Q's & 10's (combination: Q♠, Q♥, 10♦, 10♥, A♣)",2022-08-30T05:05:21.383Z,166183592138301
"""Superman @ lcLCU4HVrS"" shows a Q♠, Q♥.",2022-08-30T05:05:21.383Z,166183592138300
"""Superman @ lcLCU4HVrS"" checks",2022-08-30T05:05:20.510Z,166183592051000
"""LexLuthor @ 7ZOX07XXIG"" checks",2022-08-30T05:05:14.562Z,166183591456200
"River: A♣, 6♦, 10♦, 7♠ [10♥]",2022-08-30T05:05:09.089Z,166183590908900
"""Superman @ lcLCU4HVrS"" checks",2022-08-30T05:05:08.228Z,166183590822800
"""LexLuthor @ 7ZOX07XXIG"" checks",2022-08-30T05:05:06.090Z,166183590609000
"Turn: A♣, 6♦, 10♦ [7♠]",2022-08-30T05:05:05.088Z,166183590508800
"""Superman @ lcLCU4HVrS"" checks",2022-08-30T05:05:04.222Z,166183590422200
"""LexLuthor @ 7ZOX07XXIG"" checks",2022-08-30T05:05:02.804Z,166183590280400
"Flop:  [A♣, 6♦, 10♦]",2022-08-30T05:05:00.559Z,166183590055900
"""LexLuthor @ 7ZOX07XXIG"" calls 250",2022-08-30T05:04:59.648Z,166183589964800
"""Superman @ lcLCU4HVrS"" raises to 250",2022-08-30T05:04:53.669Z,166183589366900
"""LexLuthor @ 7ZOX07XXIG"" posts a big blind of 100",2022-08-30T05:04:47.993Z,166183588799307
"""Superman @ lcLCU4HVrS"" posts a small blind of 50",2022-08-30T05:04:47.993Z,166183588799306
"Your hand is Q♠, Q♥",2022-08-30T05:04:47.993Z,166183588799304
"Player stacks: #1 ""Superman @ lcLCU4HVrS"" (10000) | #2 ""LexLuthor @ 7ZOX07XXIG"" (28991)",2022-08-30T05:04:47.993Z,166183588799303
"The player ""LexLuthor @ 7ZOX07XXIG"" joined the game with a stack of 28991.",2022-08-30T05:04:47.993Z,166183588799302
"The player ""Superman @ lcLCU4HVrS"" joined the game with a stack of 10000.",2022-08-30T05:04:47.993Z,166183588799301
"-- starting hand #1  (No Limit Texas Hold'em) (dealer: ""Superman @ lcLCU4HVrS"") --",2022-08-30T05:04:47.993Z,166183588799300
"The admin approved the player ""LexLuthor @ 7ZOX07XXIG"" participation with a stack of 28991.",2022-08-30T05:04:43.057Z,166183588305700
"The player ""LexLuthor @ 7ZOX07XXIG"" requested a seat.",2022-08-30T05:04:32.797Z,166183587279700
"The game's ante was changed from 0 to 0.",2022-08-30T05:04:10.438Z,166183585043802
"The game's big blind was changed from 20 to 100.",2022-08-30T05:04:10.438Z,166183585043801
"The game's small blind was changed from 10 to 50.",2022-08-30T05:04:10.438Z,166183585043800
"The admin approved the player ""Superman @ lcLCU4HVrS"" participation with a stack of 10000.",2022-08-30T05:03:53.749Z,166183583374901
"The player ""Superman @ lcLCU4HVrS"" requested a seat.",2022-08-30T05:03:53.749Z,166183583374900
